,price,year_model,mileage,fiscal_power,fuel_type,mark
0,135000,2013,164999.5,2.631837307152875,Diesel,Peugeot
1,53000,2008,37499.5,2.631837307152875,Diesel,Renault
2,59000,2007,184999.5,6.0,Diesel,Citroen
3,88000,2010,37499.5,2.631837307152875,Diesel,Mercedes-Benz
4,60000,2009,134999.5,7.0,Essence,Ford
5,67000,2006,104999.5,20.0,Essence,Nissan
6,73000,2007,12499.5,2.631837307152875,Diesel,Peugeot
7,68000,2003,274999.5,2.631837307152875,Diesel,Renault
8,78000,2014,114999.5,5.0,Diesel,Fiat
9,40000,2001,174999.5,7.0,Diesel,Fiat
10,143000,2015,67499.5,6.0,Diesel,Skoda
11,275000,2015,134999.5,2.631837307152875,Diesel,Hyundai
12,118000,2015,87499.5,2.631837307152875,Diesel,Renault
13,92000,2009,27499.5,2.631837307152875,Diesel,Kia
14,89000,2014,77499.5,6.0,Diesel,Dacia
15,75000,2009,124999.5,7.0,Essence,Opel
16,53000,2008,32499.5,2.631837307152875,Diesel,Renault
17,58000,1993,224999.5,8.0,Diesel,Mercedes-Benz
18,37000,2001,32499.5,2.631837307152875,Essence,Peugeot
19,85000,2002,224999.5,2.631837307152875,Diesel,Volkswagen
20,89000,2007,124999.5,8.0,Essence,mini
21,48000,2001,104999.5,8.0,Diesel,Seat
22,203000,2014,174999.5,2.631837307152875,Diesel,Volkswagen
23,32000,1999,124999.5,2.631837307152875,Essence,Fiat
24,140000,2007,27499.5,2.631837307152875,Diesel,Isuzu
25,65000,2008,114999.5,7.0,Essence,Fiat
26,70000,2006,7499.5,2.631837307152875,Diesel,Peugeot
27,120000,2006,2499.5,2.631837307152875,Diesel,Mercedes-Benz
28,83000,1999,22499.5,2.631837307152875,Diesel,Volkswagen
29,125000,2009,174999.5,8.0,Diesel,Volkswagen
30,58000,1995,12499.5,2.631837307152875,Diesel,Volkswagen
31,168000,2014,52499.5,2.631837307152875,Diesel,Honda
32,105000,2014,114999.5,2.631837307152875,Diesel,Dacia
33,27000,1996,274999.5,8.0,Diesel,Mitsubishi
34,82000,2010,154999.5,2.631837307152875,Diesel,Renault
35,73000,2007,12499.5,2.631837307152875,Diesel,Peugeot
36,75000,2012,67499.5,2.631837307152875,Essence,Ford
37,195000,2009,224999.5,2.631837307152875,Essence,Mercedes-Benz
38,60000,2012,82499.5,2.631837307152875,Essence,Peugeot
39,56000,2007,274999.5,2.631837307152875,Diesel,Dacia
40,48000,2000,37499.5,2.631837307152875,Diesel,Peugeot
